Sex	Size	Jump_length
Female	29,569763	64,67883
Female	14,766032	54,62399
Female	19,047069	59,22532
Female	20,997469	59,79079
Female	24,193609	62,86234
Female	21,68416	60,3719
Female	13,754533	55,42445
Female	17,688184	59,47068
Female	23,680724	59,04776
Female	13,587592	55,01644
Female	35,05829	72,37204
Female	15,044473	57,97498
Female	33,260804	69,02242
Female	12,864675	51,47053
Female	23,557591	65,2584
Female	15,324946	55,22885
Female	17,781423	58,80903
Female	16,334038	55,65172
Female	18,682909	59,83024
Female	15,688118	54,6699
Female	23,791615	61,4496
Female	26,606727	67,12174
Female	18,011667	58,21022
Female	18,482215	58,06193
Female	23,607718	60,0806
Female	12,983505	53,93558
Female	31,238587	67,31415
Female	24,292853	62,25149
Female	26,13346	63,26611
Female	10,003974	50,08069
Female	29,553861	67,42961
Female	28,800877	66,42572
Female	26,153198	67,26884
Female	9,929318	49,91532
Female	23,866032	64,31358
Female	20,790575	58,25915
Female	15,533533	58,58293
Female	13,126746	51,65596
Female	19,587571	60,12428
Female	23,099598	63,4552
Female	23,359588	65,4441
Female	27,692011	65,76293
Female	17,643389	61,94863
Female	14,046766	57,11242
Female	14,63527	57,42489
Female	13,510527	55,63776
Female	16,18263	58,40611
Female	17,744766	56,17682
Female	15,570045	55,89448
Female	16,125629	56,31037
Male	21,696647	47,04482
Male	17,138713	53,34344
Male	12,088232	53,86409
Male	16,497212	58,3702
Male	19,339144	48,37913
Male	20,308466	47,36557
Male	14,007447	49,72197
Male	29,231086	44,60187
Male	25,238836	55,60963
Male	10,848021	60,02684
Male	17,039336	53,18823
Male	27,357366	50,26251
Male	28,762547	46,25864
Male	15,423433	48,07975
Male	12,995666	54,9023
Male	24,246325	53,11267
Male	18,653893	49,42875
Male	12,862224	52,52649
Male	27,676029	50,03826
Male	25,34727	50,72988
Male	25,825136	52,8348
Male	16,622113	47,38724
Male	14,870902	46,46648
Male	25,721494	44,35768
Male	17,014585	43,58466
Male	25,063873	47,48677
Male	20,982923	45,90639
Male	15,525412	50,60539
Male	24,819149	56,14412
Male	16,732128	52,16784
Male	20,834571	52,86912
Male	28,050239	46,77878
Male	19,360023	45,51135
Male	23,522061	41,71991
Male	27,151961	52,83719
Male	23,220636	54,79377
Male	11,199462	50,65684
Male	21,718705	47,90379
Male	27,791698	45,50895
Male	20,90232	45,03964
Male	32,633394	49,89912
Male	7,072516	38,10889
Male	19,959277	50,26938
Male	21,809223	56,56615
Male	18,958874	46,72746
Male	24,824357	40,44985
Male	9,780681	46,17509
Male	17,668309	43,29393
Male	24,397527	47,2531
Male	14,11873	51,86563
