Nutrient_level	Species	Weight
Low	A	10
Low	A	8
Low	A	9
Low	A	5
Low	A	9
Low	A	10
Low	A	8
Low	A	12
Low	A	5
Low	A	5
Low	A	9
Low	A	14
Low	A	13
Low	A	5
Low	A	10
Low	B	19
Low	B	13
Low	B	22
Low	B	20
Low	B	19
Low	B	27
Low	B	20
Low	B	15
Low	B	21
Low	B	18
Low	B	16
Low	B	15
Low	B	19
Low	B	18
Low	B	23
High	A	4
High	A	6
High	A	9
High	A	4
High	A	7
High	A	5
High	A	4
High	A	0
High	A	6
High	A	7
High	A	8
High	A	2
High	A	5
High	A	5
High	A	10
High	B	40
High	B	53
High	B	52
High	B	39
High	B	25
High	B	46
High	B	37
High	B	51
High	B	39
High	B	41
High	B	31
High	B	37
High	B	44
High	B	50
High	B	36
