habitat	moisture	light	nutrients	angsfraken	angsgroe	angskovall	angsyra	Blabar	Brudborste	Brunror	Dvarglummer	Ekbraken	Ekorrbar	En	Fladervanderot	Gran	Grasstjarnblomma	Graal	Gullris	Hallon	Harsyra	Hasslebrodd	Hultbraken	Karrviol	Krakbar	Krakvicker	Krustatel	Lingon	Ljung	Lundstjarnblomma	Midsommarblomster	Mossviol	Mjolkort	Nordbraken	Nordlundsarv	Nysort	Ormbar	Odon	Revlummer	Rodblara	Rodsvingel	Rodven	Rolleka	Ronn	Skogsbraken	Skogsfraken	Skogskovall	Skogsviol	Skogsstjarna	Strutbraken	Sumpmara	Topplosa	Trajon	Tuvtatel	Varfryle	akerbar	Mossa	Lav
Meadow	2	3	3	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	5	0	0	0	0
Meadow	2	3	3	0	0	0	0	0	25	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	25	0	0	0	5	0	80	5	0	0	0	0	0	0	0	0	0	0	25	0	5	80	0
Meadow	2	3	3	0	25	0	0	0	25	0	0	0	25	0	0	0	5	0	0	0	0	0	0	0	0	0	80	0	0	0	25	0	0	0	0	0	0	0	0	5	25	25	80	0	0	5	0	0	5	0	0	0	0	0	0	0	80	0
Meadow	2	3	3	0	5	0	0	0	0	0	0	0	5	0	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	25	0	5	0	0	0	0	0	0	5	0	80	25	0	0	5	0	0	5	0	0	0	0	0	25	0	80	0
Meadow	2	3	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	25	0	0	0	25	0	0	0	0	0	0	0	0	5	0	25	0	0	0	5	25	0	5	0	0	0	0	0	25	0	80	0
Meadow	2	3	3	0	25	0	0	0	5	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	25	0	5	0	0	0	0	0	0	25	0	0	5	0	0	5	0	0	0	0	0	0	0	0	80	0	25	5
Meadow	2	3	3	0	0	0	5	0	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	5	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	0	5	0	0	0	0	0	25	0	80	0
Meadow	2	3	3	0	0	0	5	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	0	25	0	0	0	0	0	0	0	0	0	0	0	25	5	0	5	0
Meadow	2	3	3	0	0	0	0	5	0	0	0	0	25	0	0	0	0	0	5	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	5	5	0	5	0	0	5	0	0	0	0	0	25	0	80	0
Meadow	2	3	3	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	25	0	0	0	5	0	0	0	0	0	0	0	0	5	0	25	0	0	0	5	0	0	0	0	0	0	0	5	0	0	80	0
Stream	2	2	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	5	25	0	0	0	0	0	0	0	0	0	0	5	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	5	0	25	0
Stream	2	2	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	5	80	0	0	0	0	0	0	0	0	0	0	5	0	25	80	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	25	0
Stream	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	25	0	0	0	0	0	0	0	0	5	0	0	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	25	0
